2BLOCK              -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KMPSKIP             2.33	2.21	1.77	1.39	1.59	1.54	1.44	1.31	1.14	1.15	1.33	1.25	1.14	1.02	1.09	1.05	-
KR                  1.41	1.57	1.37	1.37	1.38	1.22	1.37	1.30	1.38	1.34	1.37	1.36	1.37	1.36	1.37	1.40	-
KSA                 2.25	2.12	2.01	2.10	1.96	2.01	2.02	2.03	2.01	2.04	2.06	1.98	2.07	2.03	2.05	2.02	-
LBNDM               2.53	2.16	1.62	1.44	1.33	1.33	1.14	0.85	0.90	0.88	0.78	0.75	0.68	0.79	0.66	0.57	-
LDM                 4.03	3.72	3.51	3.26	3.44	3.50	3.46	3.57	3.62	3.62	3.76	3.83	3.80	3.70	3.87	3.91	-
MP                  4.39	4.49	4.18	3.82	4.40	4.65	4.66	3.95	3.97	4.19	4.29	4.16	4.17	4.15	3.82	3.66	-
MS                  3.71	2.84	1.89	1.81	1.37	1.18	1.31	1.11	1.07	1.02	0.95	0.91	1.00	1.06	0.81	0.93	-
NSN                 1.93	2.01	2.60	1.78	2.44	2.53	2.10	2.41	1.82	2.12	2.36	2.81	2.16	2.39	1.95	2.59	-
OM                  3.48	2.56	1.85	1.69	1.32	1.41	0.98	1.20	1.11	1.09	1.03	1.08	1.03	0.90	0.96	1.02	-
PBMH                -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
QF23                -	1.71	1.08	0.94	0.93	0.84	0.94	0.89	0.81	0.81	0.73	0.71	0.74	0.66	0.71	0.64	-
QF24                -	1.27	0.88	0.71	0.66	0.63	0.64	0.57	0.67	0.56	0.54	0.62	0.57	0.61	0.59	0.60	-
QF26                -	1.37	0.80	0.57	0.56	0.51	0.47	0.59	0.48	0.51	0.43	0.46	0.41	0.45	0.50	0.42	-
QF28                -	1.28	0.79	0.66	0.77	0.72	0.70	0.64	0.58	0.69	0.65	0.71	0.63	0.70	0.68	0.61	-
QF33                -	1.20	0.90	0.49	0.51	0.41	0.42	0.50	0.42	0.37	0.34	0.35	0.33	0.38	0.34	0.35	-
QF34                -	1.30	0.77	0.64	0.61	0.57	0.51	0.45	0.47	0.56	0.38	0.42	0.42	0.60	0.40	0.45	-
QF36                -	1.89	1.60	1.10	1.17	0.85	0.87	1.13	0.79	0.76	0.72	0.74	0.73	0.80	0.75	0.75	-
QF42                -	-	1.17	0.81	0.86	0.56	0.59	0.72	0.55	0.56	0.48	0.48	0.47	0.51	0.55	0.49	-
QF43                -	-	0.86	0.71	0.66	0.43	0.37	0.51	0.35	0.35	0.30	0.34	0.31	0.37	0.31	0.43	-
QF44                -	-	1.44	0.85	1.05	0.84	0.80	0.87	0.73	0.73	0.72	0.80	0.79	0.76	0.75	0.60	-
QF62                -	-	-	1.02	0.84	0.71	0.55	0.50	0.35	0.37	0.43	0.40	0.41	0.31	0.37	0.28	-
QF63                -	-	-	2.99	2.52	1.95	1.53	1.80	1.56	1.33	1.14	1.17	1.21	1.13	1.18	0.89	-
QS                  3.28	2.37	1.65	1.33	1.30	1.20	1.10	0.97	0.91	0.96	0.82	0.84	0.72	0.71	0.77	0.64	-
RAITA               3.44	2.17	1.45	1.25	1.04	1.00	0.94	0.91	0.84	0.83	0.88	0.80	0.89	0.75	0.75	0.71	-
RCOL                -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SBDM                -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SBNDM               2.55	1.22	1.03	0.74	0.72	0.71	0.58	0.65	0.68	0.59	0.66	0.62	0.66	0.60	0.60	0.58	-
SBNDM-BMH           2.62	1.98	1.44	1.28	1.12	0.97	1.04	0.87	0.90	0.81	0.71	0.70	0.65	0.60	0.64	0.60	-
SBNDM-W2            2.33	1.63	1.28	0.90	0.88	0.80	0.69	0.66	0.57	0.61	0.65	0.62	0.56	0.65	0.62	0.70	-
SBNDM-W4            2.51	-	1.26	0.89	0.85	0.75	0.76	0.69	0.75	0.70	0.48	0.48	0.49	0.45	0.44	1.26	-
SBNDM-W6            3.04	2.36	1.55	1.22	1.03	0.87	0.87	0.74	0.66	0.58	0.63	0.63	0.58	0.61	0.61	4.52	-
SBNDM2              1.63	0.93	0.71	0.64	0.70	0.56	0.51	0.57	0.59	0.54	0.46	0.47	0.40	0.45	0.49	0.54	-
SBNDMQ2             1.49	1.18	0.87	0.60	0.55	0.56	0.63	0.45	0.56	0.52	0.58	0.54	0.50	0.53	0.61	0.41	-
SBNDMQ4             -	2.43	1.11	0.69	0.63	0.64	0.47	0.43	0.49	0.42	0.34	0.34	0.34	0.36	0.37	0.42	-
SBNDMQ6             -	-	3.18	1.27	0.83	0.65	0.62	0.55	0.47	0.41	0.47	0.47	0.43	0.46	0.44	0.35	-
SBNDMQ8             -	-	-	4.37	1.61	1.16	0.74	0.78	0.68	0.54	0.47	0.43	0.41	0.46	0.38	0.36	-
SEBOM               1.62	1.16	1.03	0.75	0.86	0.64	0.80	0.72	0.63	0.75	0.74	0.73	0.66	0.75	0.74	0.61	-
SFBOM               3.19	2.21	1.69	1.51	1.12	1.15	1.14	1.43	1.01	1.01	0.79	0.82	0.84	0.77	0.75	0.78	-
SIMON               4.77	4.99	4.25	3.52	4.80	5.36	5.42	4.58	4.06	4.29	4.36	4.31	4.33	4.31	3.57	3.11	-
SKIP                2.46	2.12	1.58	1.34	1.44	1.41	1.13	1.11	0.92	1.06	1.08	0.96	1.04	0.96	0.83	0.84	-
SMITH               3.66	2.55	1.80	1.37	1.33	1.28	1.12	0.93	0.93	0.97	0.82	0.79	0.76	0.69	0.73	0.68	-
SMOA                4.62	4.79	4.17	3.67	4.50	4.92	4.90	3.77	4.04	4.17	4.29	4.25	4.26	4.14	3.50	3.25	-
SO                  1.54	1.42	1.56	1.39	1.28	1.28	1.58	1.39	1.41	1.37	1.42	1.35	1.40	1.44	1.33	1.36	-
SSABS               3.07	2.26	1.74	1.38	1.24	1.26	0.92	1.08	0.93	0.93	0.91	0.82	0.87	0.76	0.87	0.86	-
